Iteration,Times,V_A,V_B
1,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 0.02624592 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
2,"[-0.00103104 -0.00102976 -0.00102848 ...  0.00928704  0.00928832
  0.0092896 ]","[ 4.91500595  4.91500595  4.91500595 ...  0.02624592 -0.06408887
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.4565569 ]
3,"[-0.00103103 -0.00102975 -0.00102847 ...  0.00928705  0.00928833
  0.00928961]",[4.82436598 4.91500595 4.91500595 ... 0.02624592 5.18662069 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
4,"[-0.00103104 -0.00102976 -0.00102848 ...  0.00928704  0.00928832
  0.0092896 ]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 5.00534074 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.4565569  0.54780725]
5,"[-0.00103103 -0.00102975 -0.00102847 ...  0.00928705  0.00928833
  0.00928961]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887  0.02624592
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
6,"[-0.00103103 -0.00102975 -0.00102847 ...  0.00928705  0.00928833
  0.00928961]",[4.91500595 4.91500595 4.82436598 ... 0.02624592 0.02624592 5.00534074],[0.36530656 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
7,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 5.00534074 4.91500595],[0.27405622 0.27405622 0.18280587 ... 0.09155553 0.36530656 0.54780725]
8,"[-0.00103101 -0.00102973 -0.00102845 ...  0.00928707  0.00928835
  0.00928963]","[ 4.91500595  4.91500595  4.91500595 ... -0.06408887  4.91500595
  5.00534074]",[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.4565569  0.54780725]
9,"[-0.00103103 -0.00102975 -0.00102847 ...  0.00928705  0.00928833
  0.00928961]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 0.02624592 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
10,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]",[4.82436598 4.91500595 4.91500595 ... 0.02624592 5.00534074 5.00534074],[0.18280587 0.27405622 0.27405622 ... 0.09155553 0.18280587 0.54780725]
11,"[-0.00103101 -0.00102973 -0.00102845 ...  0.00928707  0.00928835
  0.00928963]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 0.02624592 5.00534074],[0.27405622 0.27405622 0.27405622 ... 0.09155553 0.09155553 0.54780725]
12,"[-0.00103102 -0.00102974 -0.00102846 ...  0.00928706  0.00928834
  0.00928962]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 4.19049654 5.00534074],"[2.74056215e-01 2.74056215e-01 2.74056215e-01 ... 9.15555284e-02
 3.05185095e-04 5.47807245e-01]"
13,"[-0.00103104 -0.00102976 -0.00102848 ...  0.00928704  0.00928832
  0.0092896 ]",[4.91500595 4.91500595 4.91500595 ... 0.02624592 0.02624592 5.00534074],"[2.74056215e-01 2.74056215e-01 2.74056215e-01 ... 3.05185095e-04
 9.15555284e-02 5.47807245e-01]"
